,time,open,high,low,close,volume,,,,,,
0,2021-09-21 20:00:00,122.322702448,122.322702448,122.193835127,122.193835127,3939,,,,,,
1,2021-09-21 19:30:00,122.295088022,122.414750535,122.295088022,122.414750535,313,,,,,,
2,2021-09-21 19:00:00,122.479184196,122.598846708,122.258268788,122.423955344,7595,,,,,,
3,2021-09-21 18:30:00,122.368726492,123.068291951,122.368726492,122.45156977,18725,,,,,,
4,2021-09-21 17:30:00,122.3779313,122.3779313,122.295088022,122.295088022,417,,,,,,
5,2021-09-21 16:30:00,122.396340918,122.396340918,122.331907257,122.331907257,84415,,,,,,
6,2021-09-21 16:00:00,123.095906377,123.206364081,122.368726492,122.368726492,761000,,,,,,
7,2021-09-21 15:30:00,122.796750095,123.132725611,122.782942882,123.077496759,203736,,,,,,
8,2021-09-21 15:00:00,122.51600343,123.002569617,122.497593813,122.792147691,182784,,,,,,
9,2021-09-21 14:30:00,122.543617856,122.893400586,122.469979387,122.506798622,198010,,,,,,
10,2021-09-21 14:00:00,122.801444547,122.828966925,122.433160152,122.539015452,182307,,,,,,
11,2021-09-21 13:30:00,123.14193042,123.187954464,122.773738073,122.782942882,129234,,,,,,
12,2021-09-21 13:00:00,123.372050637,123.436668394,123.031472716,123.151135229,124940,,,,,,
13,2021-09-21 12:30:00,123.335231402,123.611191566,123.326026594,123.381255446,112013,,,,,,
14,2021-09-21 12:00:00,123.040677525,123.445689106,123.040677525,123.330628998,126172,,,,,,
15,2021-09-21 11:30:00,123.10732034,123.344436211,122.921015012,123.022267907,182657,,,,,,
16,2021-09-21 11:00:00,123.648194897,123.648194897,122.976243864,123.14193042,162199,,,,,,
17,2021-09-21 10:30:00,124.449013252,124.522651721,123.487110745,123.648194897,216063,,,,,,
18,2021-09-21 10:00:00,124.366169974,124.863229642,123.685014132,124.430603634,1136041,,,,,,
19,2021-09-21 09:30:00,124.283326696,124.338555548,124.172868991,124.338555548,1879,,,,,,
20,2021-09-21 09:00:00,124.283326696,124.283326696,124.191278609,124.191278609,684,,,,,,
21,2021-09-21 08:30:00,124.80800079,124.80800079,124.1820738,124.550266147,1162,,,,,,
22,2021-09-21 08:00:00,124.541061338,124.541061338,124.541061338,124.541061338,210,,,,,,
23,2021-09-21 07:30:00,124.771181555,125.001301772,124.697543086,124.697543086,11558,,,,,,
24,2021-09-21 06:00:00,124.890844068,124.890844068,124.890844068,124.890844068,209,,,,,,
25,2021-09-21 04:30:00,124.66992866,124.66992866,124.66992866,124.66992866,203,,,,,,
26,2021-09-20 20:00:00,123.620580471,123.620580471,123.620580471,123.620580471,1107,,,,,,
27,2021-09-20 19:00:00,123.62978528,123.62978528,123.62978528,123.62978528,523,,,,,,
28,2021-09-20 18:00:00,123.62978528,123.62978528,123.62978528,123.62978528,531,,,,,,
29,2021-09-20 17:00:00,123.436484298,123.436484298,123.436484298,123.436484298,1048,,,,,,
30,2021-09-20 16:30:00,123.62978528,123.62978528,123.62978528,123.62978528,66876,,,,,,
31,2021-09-20 16:00:00,122.801352499,123.878315114,122.773738073,123.620580471,595087,,,,,,
32,2021-09-20 15:30:00,122.45156977,122.810557308,122.221449553,122.810557308,306928,,,,,,
33,2021-09-20 15:00:00,122.506798622,122.571232282,122.226051957,122.452490251,279005,,,,,,
34,2021-09-20 14:30:00,122.86578616,122.930219821,122.442364961,122.506798622,218149,,,,,,
35,2021-09-20 14:00:00,122.750726052,122.911810203,122.667882774,122.847376543,238589,,,,,,
36,2021-09-20 13:30:00,122.884195777,122.930219821,122.534413048,122.755328456,259671,,,,,,
37,2021-09-20 13:00:00,123.261592933,123.408869872,122.856581351,122.893400586,233678,,,,,,
38,2021-09-20 12:30:00,123.731038175,123.76785741,123.21556889,123.289207359,222932,,,,,,
39,2021-09-20 12:00:00,124.071616096,124.099230522,123.706093144,123.721833367,222881,,,,,,
40,2021-09-20 11:30:00,124.04400167,124.430603634,123.90592954,124.090025713,227603,,,,,,
41,2021-09-20 11:00:00,123.878315114,124.108435331,123.685014132,124.053206479,224775,,,,,,
42,2021-09-20 10:30:00,123.993375222,124.080820905,123.546942002,123.869110305,245364,,,,,,
43,2021-09-20 10:00:00,123.252388124,124.278724291,122.663280369,123.942748775,861066,,,,,,
44,2021-09-20 09:30:00,122.663280369,123.344436211,122.654075561,123.344436211,12851,,,,,,
45,2021-09-20 09:00:00,122.801352499,122.801352499,122.681689987,122.700099604,7581,,,,,,
46,2021-09-20 08:30:00,122.890915288,123.197159272,122.746123647,122.884195777,5328,,,,,,
47,2021-09-20 08:00:00,122.847376543,122.957834247,122.755328456,122.755328456,3217,,,,,,
48,2021-09-20 07:30:00,123.55614681,123.55614681,123.00385829,123.022267907,3286,,,,,,
49,2021-09-20 07:00:00,122.893400586,122.893400586,122.893400586,122.893400586,104,,,,,,
50,2021-09-20 05:00:00,122.893400586,123.132725611,122.893400586,123.132725611,1389,,,,,,
51,2021-09-20 04:30:00,123.261592933,123.261592933,123.261592933,123.261592933,297,,,,,,
52,2021-09-17 20:00:00,124.310941122,124.310941122,124.301736313,124.301736313,1046,,,,,,
53,2021-09-17 19:00:00,124.476627678,124.476627678,124.476627678,124.476627678,156,,,,,,
54,2021-09-17 18:00:00,124.283326696,124.283326696,124.283326696,124.283326696,104,,,,,,
55,2021-09-17 17:30:00,124.338555548,124.412194017,124.310941122,124.412194017,803,,,,,,
56,2021-09-17 17:00:00,124.449013252,124.449013252,124.347760356,124.347760356,478,,,,,,
57,2021-09-17 16:30:00,124.476627678,124.504242104,124.439808443,124.476627678,484741,,,,,,
58,2021-09-17 16:00:00,124.955277729,125.074940241,124.476627678,124.476627678,640140,,,,,,
59,2021-09-17 15:30:00,124.918458494,125.111667428,124.881639259,124.955277729,301207,,,,,,
60,2021-09-17 15:00:00,124.835615216,125.038121007,124.761976746,124.881639259,131382,,,,,,
61,2021-09-17 14:30:00,124.679133468,124.992096963,124.660723851,124.877036855,147686,,,,,,
62,2021-09-17 14:00:00,124.688338277,124.73436232,124.559470956,124.679133468,125711,,,,,,
63,2021-09-17 13:30:00,124.854024833,124.890844068,124.614699808,124.688338277,115414,,,,,,
64,2021-09-17 13:00:00,124.863229642,125.001301772,124.835615216,124.835615216,98153,,,,,,
65,2021-09-17 12:30:00,124.900048877,124.959880133,124.748169533,124.863229642,95934,,,,,,
66,2021-09-17 12:00:00,124.642314234,124.974607827,124.550266147,124.881639259,156051,,,,,,
67,2021-09-17 11:30:00,124.651519042,124.900969357,124.53185653,124.651519042,174006,,,,,,
68,2021-09-17 11:00:00,124.605494999,124.844820025,124.522743769,124.679133468,228536,,,,,,
69,2021-09-17 10:30:00,124.614699808,124.771181555,124.32014593,124.61460776,238432,,,,,,
70,2021-09-17 10:00:00,124.955277729,125.047325815,124.3937844,124.577880573,988158,,,,,,
71,2021-09-17 09:30:00,125.461542206,125.461542206,124.835615216,124.835615216,5448,,,,,,
72,2021-09-17 09:00:00,125.461542206,125.461542206,125.461542206,125.461542206,1028,,,,,,
73,2021-09-17 08:30:00,125.323470076,125.415518162,125.323470076,125.415518162,508,,,,,,
74,2021-09-17 08:00:00,125.387903736,125.387903736,125.194602754,125.194602754,473,,,,,,
75,2021-09-16 17:00:00,125.341879693,125.341879693,125.332674884,125.332674884,567,,,,,,
76,2021-09-16 16:30:00,125.581204718,125.581204718,125.581204718,125.581204718,59015,,,,,,
77,2021-09-16 16:00:00,125.843541766,125.958601874,125.553590292,125.618023953,402161,,,,,,
78,2021-09-16 15:30:00,125.940192257,126.142605999,125.838939361,125.843541766,106309,,,,,,
79,2021-09-16 15:00:00,125.691662422,125.958601874,125.664047996,125.940192257,133375,,,,,,
80,2021-09-16 14:30:00,125.614065885,125.802120126,125.535180675,125.682457614,113270,,,,,,
81,2021-09-16 14:00:00,125.397108545,125.618023953,125.314265267,125.599614336,106238,,,,,,
82,2021-09-16 13:30:00,125.673252805,125.698842173,125.397108545,125.415518162,84058,,,,,,
83,2021-09-16 13:00:00,125.664047996,125.921782639,125.651805601,125.691662422,96241,,,,,,
84,2021-09-16 12:30:00,125.470747014,125.746891274,125.470747014,125.668650401,157099,,,,,,
85,2021-09-16 12:00:00,125.355686906,125.516771058,125.268241223,125.443132588,132247,,,,,,
86,2021-09-16 11:30:00,125.019711389,125.424722971,124.973687346,125.355686906,159835,,,,,,
